id,name,en_name,ja_name,type,parent_id,sort_order,active,notes
VN-SGN,胡志明,Ho Chi Minh,ホーチミン,city,VN,2,1,舊名西貢
VN-DAD,峴港,Da Nang,ダナン,city,VN,3,1,
VN-HUI,順化,Hue,フエ,city,VN,4,1,
VN-HLG,下龍灣,Ha Long Bay,ハロンワン,city,VN,5,1,
VN-PQC,富國島,Phu Quoc,フーコック,city,VN,6,1,
VN-NHA,芽莊,Nha Trang,ニャチャン,city,VN,7,1,
PH,菲律賓,Philippines,フィリピン,country,,6,1,
PH-MNL,馬尼拉,Manila,マニラ,city,PH,1,1,
PH-CEB,宿霧,Cebu,セブ,city,PH,2,1,
PH-BRC,長灘島,Boracay,ボラカイ,city,PH,3,1,
PH-PPS,巴拉望,Palawan,パラワン,city,PH,4,1,
PH-CRK,克拉克,Clark,クラーク,city,PH,5,1,
ID,印尼,Indonesia,インドネシア,country,,7,1,
ID-DPS,峇里島,Bali,バリ,city,ID,1,1,
ID-CGK,雅加達,Jakarta,ジャカルタ,city,ID,2,1,
ID-JOG,日惹,Yogyakarta,ジョグジャカルタ,city,ID,3,1,
ID-BPN,民丹島,Bintan,ビンタン,city,ID,4,1,
CN,中國,China,チュウゴク,country,,8,1,
CN-EAS,華東,East China,カトウ,region,CN,1,1,
CN-EAS-SHA,上海,Shanghai,シャンハイ,city,CN-EAS,1,1,
CN-EAS-HGH,杭州,Hangzhou,コウシュウ,city,CN-EAS,2,1,
CN-EAS-SUZ,蘇州,Suzhou,ソシュウ,city,CN-EAS,3,1,
CN-EAS-NJG,南京,Nanjing,ナンキン,city,CN-EAS,4,1,
CN-EAS-WUX,無錫,Wuxi,ムシャク,city,CN-EAS,5,1,
CN-EAS-NGB,寧波,Ningbo,ネイハ,city,CN-EAS,6,1,
CN-EAS-HEF,合肥,Hefei,ゴウヒ,city,CN-EAS,7,1,
CN-EAS-HSN,黃山,Huangshan,コウザン,city,CN-EAS,8,1,
CN-NOR,華北,North China,カホク,region,CN,2,1,
CN-NOR-BJS,北京,Beijing,ペキン,city,CN-NOR,1,1,
CN-NOR-TSN,天津,Tianjin,テンシン,city,CN-NOR,2,1,
CN-NOR-TYN,太原,Taiyuan,タイゲン,city,CN-NOR,3,1,
CN-NOR-DAT,大同,Datong,ダイドウ,city,CN-NOR,4,1,
CN-NOR-CDE,承德,Chengde,ショウトク,city,CN-NOR,5,1,
CN-NEA,東北,Northeast China,トウホク,region,CN,3,1,
CN-NEA-HRB,哈爾濱,Harbin,ハルピン,city,CN-NEA,1,1,
CN-NEA-SHE,瀋陽,Shenyang,シンヨウ,city,CN-NEA,2,1,
CN-NEA-DLC,大連,Dalian,ダイレン,city,CN-NEA,3,1,
CN-NEA-CGQ,長春,Changchun,チョウシュン,city,CN-NEA,4,1,
CN-NEA-JIL,吉林,Jilin,キツリン,city,CN-NEA,5,1,
CN-NEA-MDJ,牡丹江,Mudanjiang,ボタンコウ,city,CN-NEA,6,1,鏡泊湖
CN-NWE,西北,Northwest China,セイホク,region,CN,4,1,
CN-NWE-XIY,西安,Xi'an,セイアン,city,CN-NWE,1,1,
CN-NWE-LZH,蘭州,Lanzhou,ランシュウ,city,CN-NWE,2,1,
CN-NWE-DNH,敦煌,Dunhuang,トンコウ,city,CN-NWE,3,1,
CN-NWE-URC,烏魯木齊,Urumqi,ウルムチ,city,CN-NWE,4,1,
CN-NWE-XNN,西寧,Xining,セイネイ,city,CN-NWE,5,1,
CN-NWE-YCC,銀川,Yinchuan,ギンセン,city,CN-NWE,6,1,
CN-NWE-TFN,吐魯番,Turpan,トルファン,city,CN-NWE,7,1,
CN-NWE-KSH,喀什,Kashgar,カシュガル,city,CN-NWE,8,1,
SG,新加坡,Singapore,,country,,99,1,從 Excel 匯入 (東南亞)
MY,馬來西亞,Malaysia,,country,,99,1,從 Excel 匯入 (東南亞)
HK,香港,Hong Kong,,country,,99,1,從 Excel 匯入 (港澳)
MO,澳門,Macau,,country,,99,1,從 Excel 匯入 (港澳)
KH,柬埔寨,Cambodia,,country,,99,1,從 Excel 匯入 (東南亞)
TR,土耳其,Turkey,,country,,99,1,從 Excel 匯入 (中東/歐亞)
AE,阿聯酋/杜拜,UAE,,country,,99,1,從 Excel 匯入 (中東)
IT,義大利,Italy,,country,,99,1,從 Excel 匯入 (歐洲)
FR,法國,France,,country,,99,1,從 Excel 匯入 (歐洲)
CH,瑞士,Switzerland,,country,,99,1,從 Excel 匯入 (歐洲)
AT,奧地利,Austria,,country,,99,1,從 Excel 匯入 (歐洲)
DE,德國,Germany,,country,,99,1,從 Excel 匯入 (歐洲)
GB,英國,United Kingdom,,country,,99,1,從 Excel 匯入 (歐洲)
NL,荷蘭,Netherlands,,country,,99,1,從 Excel 匯入 (歐洲)
ES,西班牙,Spain,,country,,99,1,從 Excel 匯入 (歐洲)
PT,葡萄牙,Portugal,,country,,99,1,從 Excel 匯入 (歐洲)
GR,希臘,Greece,,country,,99,1,從 Excel 匯入 (歐洲)
CZ,捷克,Czech Republic,,country,,99,1,從 Excel 匯入 (歐洲)
HU,匈牙利,Hungary,,country,,99,1,從 Excel 匯入 (歐洲)
HR,克羅埃西亞,Croatia,,country,,99,1,從 Excel 匯入 (歐洲)
EG,埃及,Egypt,,country,,99,1,從 Excel 匯入 (非洲/中東)
MA,摩洛哥,Morocco,,country,,99,1,從 Excel 匯入 (非洲/中東)
ZA,南非,South Africa,,country,,99,1,從 Excel 匯入 (非洲)
AU,澳洲,Australia,,country,,99,1,從 Excel 匯入 (大洋洲)
NZ,紐西蘭,New Zealand,,country,,99,1,從 Excel 匯入 (大洋洲)
US,美國,United States,,country,,99,1,從 Excel 匯入 (美洲)
CA,加拿大,Canada,,country,,99,1,從 Excel 匯入 (美洲)
MX,墨西哥,Mexico,,country,,99,1,從 Excel 匯入 (美洲)
IS,冰島,Iceland,,country,,99,1,從 Excel 匯入 (歐洲/北歐)
FI,芬蘭,Finland,,country,,99,1,從 Excel 匯入 (歐洲/北歐)
NO,挪威,Norway,,country,,99,1,從 Excel 匯入 (歐洲/北歐)
IN,印度,India,,country,,99,1,從 Excel 匯入 (南亞)
NP,尼泊爾,Nepal,,country,,99,1,從 Excel 匯入 (南亞)
IT-ROM,羅馬,Rome,,city,IT,10,1,v0.2 seed
IT-FLR,佛羅倫斯,Florence,,city,IT,10,1,v0.2 seed
IT-MIL,米蘭,Milan,,city,IT,10,1,v0.2 seed
IT-VCE,威尼斯,Venice,,city,IT,10,1,v0.2 seed
IT-NAP,那不勒斯,Naples,,city,IT,10,1,v0.2 seed
FR-PAR,巴黎,Paris,,city,FR,10,1,v0.2 seed
FR-NCE,尼斯,Nice,,city,FR,10,1,v0.2 seed
FR-LYS,里昂,Lyon,,city,FR,10,1,v0.2 seed
FR-MRS,馬賽,Marseille,,city,FR,10,1,v0.2 seed
CH-ZRH,蘇黎世,Zurich,,city,CH,10,1,v0.2 seed
CH-LCN,琉森,Lucerne,,city,CH,10,1,v0.2 seed
CH-INT,因特拉肯,Interlaken,,city,CH,10,1,v0.2 seed
CH-BRN,伯恩,Bern,,city,CH,10,1,v0.2 seed
CH-ZRT,策馬特,Zermatt,,city,CH,10,1,v0.2 seed
AT-VIE,維也納,Vienna,,city,AT,10,1,v0.2 seed
AT-SZG,薩爾斯堡,Salzburg,,city,AT,10,1,v0.2 seed
AT-HST,哈修塔特,Hallstatt,,city,AT,10,1,v0.2 seed
DE-BER,柏林,Berlin,,city,DE,10,1,v0.2 seed
DE-MUC,慕尼黑,Munich,,city,DE,10,1,v0.2 seed
DE-FRA,法蘭克福,Frankfurt,,city,DE,10,1,v0.2 seed
GB-LON,倫敦,London,,city,GB,10,1,v0.2 seed
GB-EDI,愛丁堡,Edinburgh,,city,GB,10,1,v0.2 seed
GB-OXF,牛津,Oxford,,city,GB,10,1,v0.2 seed
GB-CMB,劍橋,Cambridge,,city,GB,10,1,v0.2 seed
NL-AMS,阿姆斯特丹,Amsterdam,,city,NL,10,1,v0.2 seed
ES-BCN,巴塞隆納,Barcelona,,city,ES,10,1,v0.2 seed
ES-MAD,馬德里,Madrid,,city,ES,10,1,v0.2 seed
ES-GRX,格拉納達,Granada,,city,ES,10,1,v0.2 seed
PT-LIS,里斯本,Lisbon,,city,PT,10,1,v0.2 seed
PT-OPO,波多,Porto,,city,PT,10,1,v0.2 seed
GR-ATH,雅典,Athens,,city,GR,10,1,v0.2 seed
GR-JTR,聖托里尼,Santorini,,city,GR,10,1,v0.2 seed
GR-MYK,米克諾斯,Mykonos,,city,GR,10,1,v0.2 seed
CZ-PRG,布拉格,Prague,,city,CZ,10,1,v0.2 seed
CZ-CKR,庫倫洛夫,Cesky Krumlov,,city,CZ,10,1,v0.2 seed
HU-BUD,布達佩斯,Budapest,,city,HU,10,1,v0.2 seed
HR-ZAG,札格雷布,Zagreb,,city,HR,10,1,v0.2 seed
HR-DBV,杜布羅夫尼克,Dubrovnik,,city,HR,10,1,v0.2 seed
IS-REK,雷克雅維克,Reykjavik,,city,IS,10,1,v0.2 seed
FI-HEL,赫爾辛基,Helsinki,,city,FI,10,1,v0.2 seed
FI-RVN,羅瓦涅米,Rovaniemi,,city,FI,10,1,v0.2 seed
NO-OSL,奧斯陸,Oslo,,city,NO,10,1,v0.2 seed
NO-BGO,卑爾根,Bergen,,city,NO,10,1,v0.2 seed
NO-TOS,特羅姆瑟,Tromso,,city,NO,10,1,v0.2 seed
EG-CAI,開羅,Cairo,,city,EG,10,1,v0.2 seed
EG-LXR,路克索,Luxor,,city,EG,10,1,v0.2 seed
MA-RAK,馬拉喀什,Marrakech,,city,MA,10,1,v0.2 seed
MA-CMN,卡薩布蘭加,Casablanca,,city,MA,10,1,v0.2 seed
MA-FEZ,菲斯,Fes,,city,MA,10,1,v0.2 seed
MA-CHF,舍夫沙萬,Chefchaouen,,city,MA,10,1,v0.2 seed
ZA-CPT,開普敦,Cape Town,,city,ZA,10,1,v0.2 seed
ZA-JNB,約翰尼斯堡,Johannesburg,,city,ZA,10,1,v0.2 seed
AU-SYD,雪梨,Sydney,,city,AU,10,1,v0.2 seed
AU-MEL,墨爾本,Melbourne,,city,AU,10,1,v0.2 seed
AU-BNE,布里斯本,Brisbane,,city,AU,10,1,v0.2 seed
AU-CNS,凱恩斯,Cairns,,city,AU,10,1,v0.2 seed
NZ-AKL,奧克蘭,Auckland,,city,NZ,10,1,v0.2 seed
NZ-ZQN,皇后鎮,Queenstown,,city,NZ,10,1,v0.2 seed
NZ-CHC,基督城,Christchurch,,city,NZ,10,1,v0.2 seed
US-NYC,紐約,New York,,city,US,10,1,v0.2 seed
US-LAX,洛杉磯,Los Angeles,,city,US,10,1,v0.2 seed
US-SFO,舊金山,San Francisco,,city,US,10,1,v0.2 seed
US-LAS,拉斯維加斯,Las Vegas,,city,US,10,1,v0.2 seed
US-MCO,奧蘭多,Orlando,,city,US,10,1,v0.2 seed
US-HNL,夏威夷,Hawaii,,city,US,10,1,v0.2 seed
CA-YYZ,多倫多,Toronto,,city,CA,10,1,v0.2 seed
CA-YVR,溫哥華,Vancouver,,city,CA,10,1,v0.2 seed
CA-YYC,班夫,Banff,,city,CA,10,1,v0.2 seed
CA-YZF,黃刀鎮,Yellowknife,,city,CA,10,1,v0.2 seed
MX-MEX,墨西哥城,Mexico City,,city,MX,10,1,v0.2 seed
MX-CUN,坎昆,Cancun,,city,MX,10,1,v0.2 seed
SG-SIN,新加坡市,Singapore City,,city,SG,10,1,v0.2 seed
MY-KUL,吉隆坡,Kuala Lumpur,,city,MY,10,1,v0.2 seed
MY-PEN,檳城,Penang,,city,MY,10,1,v0.2 seed
MY-MKZ,馬六甲,Malacca,,city,MY,10,1,v0.2 seed
MY-BKI,亞庇,Kota Kinabalu,,city,MY,10,1,v0.2 seed
HK-KLN,九龍,Kowloon,,city,HK,10,1,v0.2 seed
HK-HKI,港島,Hong Kong Island,,city,HK,10,1,v0.2 seed
MO-MAC,澳門半島,Macau Peninsula,,city,MO,10,1,v0.2 seed
MO-COT,路氹,Cotai,,city,MO,10,1,v0.2 seed
KH-REP,暹粒,Siem Reap,,city,KH,10,1,v0.2 seed
KH-PNH,金邊,Phnom Penh,,city,KH,10,1,v0.2 seed
TR-IST,伊斯坦堡,Istanbul,,city,TR,10,1,v0.2 seed
TR-NAV,卡帕多奇亞,Cappadocia,,city,TR,10,1,v0.2 seed
TR-DNZ,棉堡,Pamukkale,,city,TR,10,1,v0.2 seed
AE-DXB,杜拜,Dubai,,city,AE,10,1,v0.2 seed
AE-AUH,阿布達比,Abu Dhabi,,city,AE,10,1,v0.2 seed
IN-DEL,德里,Delhi,,city,IN,10,1,v0.2 seed
IN-BOM,孟買,Mumbai,,city,IN,10,1,v0.2 seed
IN-AGR,阿格拉,Agra,,city,IN,10,1,v0.2 seed
IN-JAI,齋浦爾,Jaipur,,city,IN,10,1,v0.2 seed
NP-KTM,加德滿都,Kathmandu,,city,NP,10,1,v0.2 seed
NP-PKR,波卡拉,Pokhara,,city,NP,10,1,v0.2 seed
CN-SCN-EME,峨眉山,Mt Emei,,city,CN,20,1,四川 - 為峨眉山 landmark 建立
FR-MSM,聖米歇爾山,Mont Saint-Michel,,city,FR,20,1,諾曼第
DE-HDB,海德堡,Heidelberg,,city,DE,20,1,
DE-CGN,科隆,Cologne,,city,DE,20,1,
HR-SPU,斯普利特,Split,,city,HR,20,1,戴克里先宮所在
IN-VAR,瓦拉納西,Varanasi,,city,IN,20,1,恆河聖城
