landmark,alias,location_id,type,country_id,notes
別府溫泉,別府,JP-KYU-OIT,onsen,JP,
由布院,湯布院,JP-KYU-OIT,onsen,JP,
阿蘇山,,JP-KYU-KMM,mountain,JP,
熊本城,,JP-KYU-KMM,castle,JP,
豪斯登堡,Huis Ten Bosch,JP-KYU-NGS,park,JP,
首里城,,JP-OKW-NHA,castle,JP,
仁川機場,ICN,KR-INC,airport,KR,通常為出發/轉機點
金浦機場,GMP,KR-SEL,airport,KR,
金海機場,PUS,KR-PUS,airport,KR,釜山
明洞,Myeongdong,KR-SEL,district,KR,
東大門,Dongdaemun,KR-SEL,district,KR,
南山塔,N首爾塔|首爾塔,KR-SEL,building,KR,
景福宮,,KR-SEL,palace,KR,
北村韓屋村,北村,KR-SEL,district,KR,
南怡島,,KR-KAN,island,KR,
雪嶽山,,KR-KAN,mountain,KR,
小法國村,,KR-KAN,park,KR,
海雲台,,KR-PUS,beach,KR,
甘川洞文化村,,KR-PUS,district,KR,
漢拏山,,KR-CJU,mountain,KR,
泰勒文化公園,泰迪熊博物館,KR-CJU,park,KR,
蘇凡納布機場,BKK,TH-BKK,airport,TH,曼谷 - 通常為過境
廊曼機場,DMK,TH-BKK,airport,TH,
普吉國際機場,HKT,TH-HKT,airport,TH,
大皇宮,曼谷大皇宮,TH-BKK,palace,TH,
玉佛寺,,TH-BKK,temple,TH,
鄭王廟,黎明寺,TH-BKK,temple,TH,
水上市場,,TH-BKK,market,TH,
考山路,Khao San,TH-BKK,district,TH,
PP島,皮皮島,TH-HKT,island,TH,
珊瑚島,,TH-HKT,island,TH,
雙龍寺,清邁雙龍寺,TH-CNX,temple,TH,
夜間動物園,,TH-CNX,park,TH,
古城周長,清邁古城|清邁護城河,TH-CNX,district,TH,
內排機場,HAN,VN-HAN,airport,VN,通常為過境
新山一機場,SGN,VN-SGN,airport,VN,胡志明 - 通常為過境
峴港機場,DAD,VN-DAD,airport,VN,
還劍湖,,VN-HAN,lake,VN,河內
胡志明陵,,VN-HAN,landmark,VN,
下龍灣,Halong,VN-HLG,landmark,VN,
湄公河三角洲,湄公河,VN-SGN,landmark,VN,
古芝地道,,VN-SGN,landmark,VN,
巴拿山,,VN-DAD,mountain,VN,
五行山,,VN-DAD,mountain,VN,
會安古鎮,會安,VN-DAD,district,VN,
順化皇城,皇城,VN-HUI,landmark,VN,
馬尼拉機場,MNL,PH-MNL,airport,PH,通常為過境
宿霧機場,CEB,PH-CEB,airport,PH,
卡利波機場,KLO|長灘島機場,PH-BRC,airport,PH,
公主港機場,PPS,PH-PPS,airport,PH,
白沙灘,長灘白沙灘,PH-BRC,beach,PH,
水晶教堂,墨寶水晶教堂,PH-CEB,landmark,PH,
鯨鯊共遊,歐斯陸,PH-CEB,landmark,PH,
薄荷島,Bohol,PH-CEB,island,PH,薄荷島就近掛宿霧
峇里島伍拉萊機場,DPS,ID-DPS,airport,ID,通常為過境
雅加達蘇加諾機場,CGK,ID-CGK,airport,ID,
烏布,Ubud,ID-DPS,district,ID,
金巴蘭,Jimbaran,ID-DPS,district,ID,
庫塔,Kuta,ID-DPS,beach,ID,
海神廟,塔納羅特,ID-DPS,temple,ID,
婆羅浮屠,,ID-JOG,temple,ID,
浦東機場,PVG,CN-EAS-SHA,airport,CN,通常為過境
虹橋機場,SHA,CN-EAS-SHA,airport,CN,
首都機場,PEK,CN-NOR-BJS,airport,CN,通常為過境
大興機場,PKX,CN-NOR-BJS,airport,CN,
外灘,The Bund,CN-EAS-SHA,landmark,CN,
東方明珠,,CN-EAS-SHA,building,CN,
豫園,,CN-EAS-SHA,landmark,CN,
迪士尼上海,上海迪士尼,CN-EAS-SHA,park,CN,
西湖,杭州西湖,CN-EAS-HGH,lake,CN,
靈隱寺,,CN-EAS-HGH,temple,CN,
雷峰塔,,CN-EAS-HGH,landmark,CN,
拙政園,蘇州拙政園,CN-EAS-SUZ,landmark,CN,
寒山寺,,CN-EAS-SUZ,temple,CN,
留園,,CN-EAS-SUZ,landmark,CN,
夫子廟,南京夫子廟,CN-EAS-NJG,landmark,CN,
中山陵,,CN-EAS-NJG,landmark,CN,
黃山,,CN-EAS-HSN,mountain,CN,
天安門,北京天安門,CN-NOR-BJS,landmark,CN,
故宮,紫禁城,CN-NOR-BJS,landmark,CN,北京故宮
長城,萬里長城|八達嶺,CN-NOR-BJS,landmark,CN,八達嶺段最近北京
頤和園,,CN-NOR-BJS,landmark,CN,
天壇,,CN-NOR-BJS,landmark,CN,
南鑼鼓巷,,CN-NOR-BJS,district,CN,
雲岡石窟,,CN-NOR-DAT,landmark,CN,大同
應縣木塔,,CN-NOR-DAT,landmark,CN,
平遙古城,,CN-NOR-TYN,landmark,CN,太原近郊
喬家大院,,CN-NOR-TYN,landmark,CN,
中央大街,哈爾濱中央大街,CN-NEA-HRB,district,CN,
聖索菲亞教堂,,CN-NEA-HRB,landmark,CN,
冰雪大世界,,CN-NEA-HRB,landmark,CN,
鏡泊湖,,CN-NEA-MDJ,lake,CN,
兵馬俑,秦兵馬俑,CN-NWE-XIY,landmark,CN,
大雁塔,,CN-NWE-XIY,landmark,CN,
華清池,,CN-NWE-XIY,landmark,CN,
華山,,CN-NWE-XIY,mountain,CN,西安近郊
莫高窟,敦煌莫高窟|千佛洞,CN-NWE-DNH,landmark,CN,
鳴沙山,月牙泉,CN-NWE-DNH,landmark,CN,
嘉峪關,,CN-NWE-LZH,landmark,CN,
天山天池,天池,CN-NWE-URC,lake,CN,
喀納斯湖,喀納斯,CN-NWE-URC,lake,CN,新疆
火焰山,,CN-NWE-TFN,mountain,CN,吐魯番
美麗海水族館,,JP-OKW-NHA,landmark,JP,從 Excel 匯入 (v0.2 重 pin 到城市)
愛寶樂園,,KR-SEL,landmark,KR,從 Excel 匯入 (v0.2 重 pin 到城市)
牛島,,KR-CJU,landmark,KR,從 Excel 匯入 (v0.2 重 pin 到城市)
Grand World,,VN-PQC,landmark,VN,從 Excel 匯入 (v0.2 重 pin 到城市)
Vinpearl,,VN-PQC,landmark,VN,從 Excel 匯入 (v0.2 重 pin 到城市)
Vinpearl Safari,,VN-PQC,landmark,VN,從 Excel 匯入 (v0.2 重 pin 到城市)
黃金橋,,VN-DAD,landmark,VN,從 Excel 匯入 (v0.2 重 pin 到城市)
美溪沙灘,,VN-DAD,landmark,VN,從 Excel 匯入 (v0.2 重 pin 到城市)
臥佛寺,,TH-BKK,landmark,TH,從 Excel 匯入 (v0.2 重 pin 到城市)
昭披耶河,,TH-BKK,landmark,TH,從 Excel 匯入 (v0.2 重 pin 到城市)
魚尾獅,,SG-SIN,landmark,SG,從 Excel 匯入 (v0.2 重 pin 到城市)
濱海灣金沙,,SG-SIN,landmark,SG,從 Excel 匯入 (v0.2 重 pin 到城市)
濱海灣花園,,SG-SIN,landmark,SG,從 Excel 匯入 (v0.2 重 pin 到城市)
USS,,SG-SIN,landmark,SG,從 Excel 匯入 (v0.2 重 pin 到城市)
雙子星塔,,MY-KUL,landmark,MY,從 Excel 匯入 (v0.2 重 pin 到城市)
檳城,,MY-PEN,landmark,MY,從 Excel 匯入 (v0.2 重 pin 到城市)
神山,,MY-BKI,landmark,MY,從 Excel 匯入 (v0.2 重 pin 到城市)
巴里島,,ID-DPS,landmark,ID,從 Excel 匯入 (v0.2 重 pin 到城市)
藍夢島,,ID-DPS,landmark,ID,從 Excel 匯入 (v0.2 重 pin 到城市)
巧克力山,,PH-CEB,landmark,PH,從 Excel 匯入 (v0.2 重 pin 到城市)
愛妮島,,PH-PPS,landmark,PH,從 Excel 匯入 (v0.2 重 pin 到城市)
科隆島,,PH-PPS,landmark,PH,從 Excel 匯入 (v0.2 重 pin 到城市)
綠島,,TW-TTT,landmark,TW,從 Excel 匯入 (v0.2 重 pin 到城市)
峨眉山,,CN-SCN-EME,landmark,CN,v0.2 final repin
太平山,,HK-HKI,landmark,HK,從 Excel 匯入 (v0.2 重 pin 到城市)
香港迪士尼,,HK-HKI,landmark,HK,從 Excel 匯入 (v0.2 重 pin 到城市)
海洋公園,,HK-HKI,landmark,HK,從 Excel 匯入 (v0.2 重 pin 到城市)
大嶼山,,HK-HKI,landmark,HK,從 Excel 匯入 (v0.2 重 pin 到城市)
媽閣廟,,MO-MAC,landmark,MO,從 Excel 匯入 (v0.2 重 pin 到城市)
永利皇宮,,MO-COT,landmark,MO,從 Excel 匯入 (v0.2 重 pin 到城市)
金沙城,,MO-COT,landmark,MO,從 Excel 匯入 (v0.2 重 pin 到城市)
巴戎寺,,KH-REP,landmark,KH,從 Excel 匯入 (v0.2 重 pin 到城市)
塔普倫寺,,KH-REP,landmark,KH,從 Excel 匯入 (v0.2 重 pin 到城市)
女王宮,,KH-REP,landmark,KH,從 Excel 匯入 (v0.2 重 pin 到城市)
洞里薩湖,,KH-REP,landmark,KH,從 Excel 匯入 (v0.2 重 pin 到城市)
伊斯坦堡,,TR-IST,landmark,TR,從 Excel 匯入 (v0.2 重 pin 到城市)
藍色清真寺,,TR-IST,landmark,TR,從 Excel 匯入 (v0.2 重 pin 到城市)
托普卡匹皇宮,,TR-IST,landmark,TR,從 Excel 匯入 (v0.2 重 pin 到城市)
棉堡,,TR-DNZ,landmark,TR,從 Excel 匯入 (v0.2 重 pin 到城市)
哈里發塔,,AE-DXB,landmark,AE,從 Excel 匯入 (v0.2 重 pin 到城市)
帆船飯店,,AE-DXB,landmark,AE,從 Excel 匯入 (v0.2 重 pin 到城市)
棕櫚島,,AE-DXB,landmark,AE,從 Excel 匯入 (v0.2 重 pin 到城市)
Dubai Mall,,AE-DXB,landmark,AE,從 Excel 匯入 (v0.2 重 pin 到城市)
謝赫扎耶德大清真寺,,AE-AUH,landmark,AE,從 Excel 匯入 (v0.2 重 pin 到城市)
聖彼得大教堂,,IT-ROM,landmark,IT,從 Excel 匯入 (v0.2 重 pin 到城市)
聖母百花大教堂,,IT-FLR,landmark,IT,從 Excel 匯入 (v0.2 重 pin 到城市)
比薩斜塔,,IT-FLR,landmark,IT,從 Excel 匯入 (v0.2 重 pin 到城市)
嘆息橋,,IT-VCE,landmark,IT,從 Excel 匯入 (v0.2 重 pin 到城市)
艾菲爾鐵塔,,FR-PAR,landmark,FR,從 Excel 匯入 (v0.2 重 pin 到城市)
羅浮宮,,FR-PAR,landmark,FR,從 Excel 匯入 (v0.2 重 pin 到城市)
凡爾賽宮,,FR-PAR,landmark,FR,從 Excel 匯入 (v0.2 重 pin 到城市)
塞納河,,FR-PAR,landmark,FR,從 Excel 匯入 (v0.2 重 pin 到城市)
聖米歇爾山,,FR-MSM,landmark,FR,v0.2 final repin
蔚藍海岸,,FR-NCE,landmark,FR,從 Excel 匯入 (v0.2 重 pin 到城市)
卡貝爾橋,,CH-LCN,landmark,CH,從 Excel 匯入 (v0.2 重 pin 到城市)
萊茵瀑布,,CH-ZRH,landmark,CH,從 Excel 匯入 (v0.2 重 pin 到城市)
美泉宮,,AT-VIE,landmark,AT,從 Excel 匯入 (v0.2 重 pin 到城市)
霍夫堡,,AT-VIE,landmark,AT,從 Excel 匯入 (v0.2 重 pin 到城市)
薩爾斯堡,,AT-SZG,landmark,AT,從 Excel 匯入 (v0.2 重 pin 到城市)
多瑙河,,AT-VIE,landmark,AT,從 Excel 匯入 (v0.2 重 pin 到城市)
新天鵝堡,,DE-MUC,landmark,DE,從 Excel 匯入 (v0.2 重 pin 到城市)
海德堡,,DE-HDB,landmark,DE,v0.2 final repin
科隆大教堂,,DE-CGN,landmark,DE,v0.2 final repin
倫敦塔橋,,GB-LON,landmark,GB,從 Excel 匯入 (v0.2 重 pin 到城市)
白金漢宮,,GB-LON,landmark,GB,從 Excel 匯入 (v0.2 重 pin 到城市)
大英博物館,,GB-LON,landmark,GB,從 Excel 匯入 (v0.2 重 pin 到城市)
溫莎城堡,,GB-LON,landmark,GB,從 Excel 匯入 (v0.2 重 pin 到城市)
劍橋,,GB-CMB,landmark,GB,從 Excel 匯入 (v0.2 重 pin 到城市)
愛丁堡,,GB-EDI,landmark,GB,從 Excel 匯入 (v0.2 重 pin 到城市)
梵谷博物館,,NL-AMS,landmark,NL,從 Excel 匯入 (v0.2 重 pin 到城市)
運河,,NL-AMS,landmark,NL,從 Excel 匯入 (v0.2 重 pin 到城市)
奎爾公園,,ES-BCN,landmark,ES,從 Excel 匯入 (v0.2 重 pin 到城市)
普拉多美術館,,ES-MAD,landmark,ES,從 Excel 匯入 (v0.2 重 pin 到城市)
阿爾罕布拉宮,,ES-GRX,landmark,ES,從 Excel 匯入 (v0.2 重 pin 到城市)
貝倫塔,,PT-LIS,landmark,PT,從 Excel 匯入 (v0.2 重 pin 到城市)
杜羅河,,PT-OPO,landmark,PT,從 Excel 匯入 (v0.2 重 pin 到城市)
佩納宮,,PT-LIS,landmark,PT,從 Excel 匯入 (v0.2 重 pin 到城市)
衛城,,GR-ATH,landmark,GR,從 Excel 匯入 (v0.2 重 pin 到城市)
帕德嫩神廟,,GR-ATH,landmark,GR,從 Excel 匯入 (v0.2 重 pin 到城市)
藍頂教堂,,GR-JTR,landmark,GR,從 Excel 匯入 (v0.2 重 pin 到城市)
查理大橋,,CZ-PRG,landmark,CZ,從 Excel 匯入 (v0.2 重 pin 到城市)
布拉格城堡,,CZ-PRG,landmark,CZ,從 Excel 匯入 (v0.2 重 pin 到城市)
漁人堡,,HU-BUD,landmark,HU,從 Excel 匯入 (v0.2 重 pin 到城市)
十六湖,,HR-ZAG,landmark,HR,從 Excel 匯入 (v0.2 重 pin 到城市)
戴克里先宮,,HR-SPU,landmark,HR,v0.2 final repin
吉薩金字塔,,EG-CAI,landmark,EG,從 Excel 匯入 (v0.2 重 pin 到城市)
尼羅河,,EG-CAI,landmark,EG,從 Excel 匯入 (v0.2 重 pin 到城市)
藍色山城,,MA-CHF,landmark,MA,從 Excel 匯入 (v0.2 重 pin 到城市)
哈桑二世清真寺,,MA-CMN,landmark,MA,從 Excel 匯入 (v0.2 重 pin 到城市)
桌山,,ZA-CPT,landmark,ZA,從 Excel 匯入 (v0.2 重 pin 到城市)
企鵝灘,,ZA-CPT,landmark,ZA,從 Excel 匯入 (v0.2 重 pin 到城市)
約翰尼斯堡,,ZA-JNB,landmark,ZA,從 Excel 匯入 (v0.2 重 pin 到城市)
克魯格國家公園,,ZA-JNB,landmark,ZA,從 Excel 匯入 (v0.2 重 pin 到城市)
黃金海岸,,AU-BNE,landmark,AU,從 Excel 匯入 (v0.2 重 pin 到城市)
雪梨港灣大橋,,AU-SYD,landmark,AU,從 Excel 匯入 (v0.2 重 pin 到城市)
庫克山,,NZ-CHC,landmark,NZ,從 Excel 匯入 (v0.2 重 pin 到城市)
蒂卡波湖,,NZ-CHC,landmark,NZ,從 Excel 匯入 (v0.2 重 pin 到城市)
好牧羊人教堂,,NZ-CHC,landmark,NZ,從 Excel 匯入 (v0.2 重 pin 到城市)
南島,,NZ-CHC,landmark,NZ,從 Excel 匯入 (v0.2 重 pin 到城市)
北島,,NZ-AKL,landmark,NZ,從 Excel 匯入 (v0.2 重 pin 到城市)
中央公園,,US-NYC,landmark,US,從 Excel 匯入 (v0.2 重 pin 到城市)
好萊塢,,US-LAX,landmark,US,從 Excel 匯入 (v0.2 重 pin 到城市)
舊金山,,US-SFO,landmark,US,從 Excel 匯入 (v0.2 重 pin 到城市)
金門大橋,,US-SFO,landmark,US,從 Excel 匯入 (v0.2 重 pin 到城市)
尼加拉瀑布,,CA-YYZ,landmark,CA,從 Excel 匯入 (v0.2 重 pin 到城市)
露易絲湖,,CA-YYC,landmark,CA,從 Excel 匯入 (v0.2 重 pin 到城市)
墨西哥城,,MX-MEX,landmark,MX,從 Excel 匯入 (v0.2 重 pin 到城市)
太陽金字塔,,MX-MEX,landmark,MX,從 Excel 匯入 (v0.2 重 pin 到城市)
藍湖,,IS-REK,landmark,IS,從 Excel 匯入 (v0.2 重 pin 到城市)
黃金瀑布,,IS-REK,landmark,IS,從 Excel 匯入 (v0.2 重 pin 到城市)
黑沙灘,,IS-REK,landmark,IS,從 Excel 匯入 (v0.2 重 pin 到城市)
傑古沙龍冰河湖,,IS-REK,landmark,IS,從 Excel 匯入 (v0.2 重 pin 到城市)
恆河,,IN-VAR,landmark,IN,v0.2 final repin
費瓦湖,,NP-PKR,landmark,NP,從 Excel 匯入 (v0.2 重 pin 到城市)
